area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
104.52,南 北,精装,中楼层(共6层) ,板塔结合,220.0,21049.0,怀柔,1,150,5
106.7,南 北,精装,中楼层(共5层) ,板塔结合,226.0,21181.0,怀柔,0,365,4
103.68,南 北,简装,低楼层(共6层) ,板楼,289.0,27875.0,怀柔,2,150,4
99.7,南,其他,顶层(共6层) ,板楼,225.0,22568.0,怀柔,0,22,5
101.19,南 北,其他,中楼层(共9层) ,板楼,328.0,32415.0,怀柔,3,365,3
98.4,南 北,精装,中楼层(共6层) ,板楼,200.0,20326.0,怀柔,1,330,4
98.72,南 北,其他,中楼层(共6层) ,板楼,290.0,29377.0,怀柔,1,60,5
104.52,南 北,其他,底层(共6层) ,板塔结合,230.0,22006.0,怀柔,0,150,5
93.18,南 北,其他,中楼层(共6层),板楼,295.0,31660.0,怀柔,1,180,5
100.0,南,简装,顶层(共4层) ,板楼,195.0,19500.0,怀柔,13,365,3
96.33,南 北,简装,中楼层(共6层) ,板楼,258.0,26783.0,怀柔,1,120,4
106.13,南 北,其他,顶层(共6层) ,板楼,276.0,26006.0,怀柔,2,300,5
93.03,西北,简装,顶层(共6层) ,板楼,188.0,20209.0,怀柔,0,19,3
99.8,东 南 北,其他,顶层(共6层) ,板楼,200.0,20041.0,怀柔,0,365,5
90.78,南 北,简装,中楼层(共7层),板楼,220.0,24235.0,怀柔,3,365,3
158.63,南 北,简装,顶层(共5层),板楼,500.0,31520.0,怀柔,3,365,5
98.17,东 西 北,简装,中楼层(共6层),板楼,200.0,20373.0,怀柔,0,365,4
100.11,南 北,简装,中楼层(共6层) ,板楼,390.0,38958.0,怀柔,0,30,5
102.9,南 北,精装,顶层(共15层),板楼,200.0,19437.0,怀柔,1,8,4
92.7,南 北,其他,底层(共6层) ,板楼,248.0,26753.0,怀柔,1,180,4
96.05,南 北,简装,高楼层(共6层),板楼,212.0,22072.0,怀柔,0,365,3
98.17,东 西 北,其他,低楼层(共6层) ,板楼,188.0,19151.0,怀柔,0,6,4
94.09,南 北,精装,底层(共6层) ,板楼,230.0,24445.0,怀柔,1,90,4
94.51,南 北,简装,顶层(共6层) ,板楼,225.0,23808.0,怀柔,1,365,4
95.66,南 北,简装,高楼层(共6层),板楼,230.0,24044.0,怀柔,1,365,4
90.84,南 北,精装,高楼层(共12层),板楼,150.0,16513.0,怀柔,12,365,3
95.92,南 北,精装,顶层(共6层),板楼,288.0,30026.0,怀柔,11,365,5
158.3,南 北,简装,底层(共12层),板楼,588.0,37145.0,怀柔,18,330,5
109.48,南 北,毛坯,高楼层(共6层) ,板楼,499.0,45580.0,怀柔,3,120,5
105.38,南 北,其他,中楼层(共12层) ,板楼,499.0,47353.0,怀柔,2,180,5
103.8,南 北,简装,底层(共6层) ,板楼,280.0,26975.0,怀柔,3,300,4
102.28,南 北,简装,中楼层(共6层) ,板塔结合,198.0,19359.0,怀柔,0,30,4
93.05,南 北,其他,底层(共5层) ,板楼,269.0,28910.0,怀柔,1,180,5
107.4,南 北,其他,中楼层(共6层) ,板楼,238.0,22161.0,怀柔,1,365,4
93.21,南 北,精装,中楼层(共6层) ,板楼,280.0,30040.0,怀柔,0,90,4
157.97,南 北,简装,高楼层(共6层),板楼,410.0,25955.0,怀柔,3,240,6
103.15,南 北,简装,顶层(共5层) ,板楼,240.0,23268.0,怀柔,8,365,4
95.04,南 北,其他,中楼层(共6层) ,板楼,180.0,18940.0,怀柔,0,7,5
96.19,南 北,简装,高楼层(共6层) ,板楼,245.0,25471.0,怀柔,2,180,4
90.56,南 北,其他,低楼层(共9层) ,板楼,319.0,35226.0,怀柔,1,270,3
98.76,南 北,简装,高楼层(共6层) ,板楼,349.0,35339.0,怀柔,1,365,4
90.53,南 北,其他,底层(共5层) ,板楼,220.0,24302.0,怀柔,5,120,3
109.43,北 南,简装,顶层(共6层) ,板楼,309.0,28238.0,怀柔,0,30,4
102.44,南 北,简装,顶层(共6层),板楼,272.0,26553.0,怀柔,1,270,5
104.2,南 北,其他,顶层(共6层),板楼,229.0,21977.0,怀柔,1,90,5
90.03,南 北,精装,顶层(共6层) ,板楼,232.0,25770.0,怀柔,0,90,4
97.76,南 北,其他,中楼层(共6层),板塔结合,258.0,26392.0,怀柔,12,365,4
160.21,南 北 西,其他,中楼层(共6层) ,板楼,650.0,40572.0,怀柔,2,210,5
92.3,南 北,其他,顶层(共6层) ,板楼,195.0,21127.0,怀柔,2,150,5
102.9,南 北,精装,高楼层(共15层),板楼,290.0,28183.0,怀柔,0,150,5
103.86,南 北,简装,顶层(共6层) ,板楼,238.0,22916.0,怀柔,3,300,4
99.21,南 北,简装,顶层(共6层) ,板楼,315.0,31751.0,怀柔,2,270,5
98.25,东 南 西,其他,底层(共6层),板楼,225.0,22901.0,怀柔,0,6,3
90.1,南 北,精装,顶层(共6层) ,板楼,270.0,29967.0,怀柔,10,365,4
100.94,东 西,精装,中楼层(共5层) ,板楼,235.0,23282.0,怀柔,1,365,4
94.56,南 北,精装,高楼层(共6层),板楼,225.0,23795.0,怀柔,2,365,5
101.82,南 北,精装,高楼层(共6层) ,板楼,275.0,27009.0,怀柔,1,365,5
91.11,东 西,精装,顶层(共6层),板楼,200.0,21952.0,怀柔,0,330,4
93.71,南 北,其他,低楼层(共6层) ,板楼,315.0,33615.0,怀柔,4,270,5
95.95,南 北,其他,低楼层(共6层) ,板楼,220.0,22929.0,怀柔,0,60,4
93.82,南 北,其他,中楼层(共6层) ,板楼,299.0,31870.0,怀柔,1,30,4
