area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
95.05,东 南 北,精装,中楼层(共20层),塔楼,1199,126145.0,和平里,99,60.0,4
92.33,东 南 北,简装,中楼层(共5层) ,板楼,960,103975.0,灯市口,27,150.0,4
95.11,东南,精装,中楼层(共16层) ,塔楼,720,75702.0,永定门,36,365.0,3
197.76,东南,其他,高楼层(共15层) ,塔楼,1298,65636.0,朝阳门外,4,60.0,5
101.21,东 北,简装,高楼层(共12层) ,板楼,1260,124494.0,朝阳门内,1,30.0,4
172.33,西南,简装,低楼层(共17层) ,塔楼,1700,98648.0,东花市,3,30.0,4
95.24,南 北,精装,高楼层(共7层),板楼,849,89144.0,崇文门,22,365.0,4
157.42,北 南,简装,低楼层(共16层),板楼,1650,104816.0,崇文门,49,300.0,4
157.5,南 北,其他,底层(共6层) ,板楼,1560,99048.0,左安门,16,365.0,5
151.92,东 西,其他,高楼层(共22层),板塔结合,2090,137573.0,工体,30,150.0,5
93.09,南 北,简装,中楼层(共6层) ,板楼,680,73048.0,永定门,3,90.0,3
94.05,西,精装,低楼层(共17层),板塔结合,1198,127380.0,工体,48,150.0,3
90.08,南,简装,低楼层(共17层) ,板塔结合,1020,113233.0,陶然亭,25,30.0,4
104.98,东 北 东北,精装,中楼层(共6层) ,板楼,990,94304.0,和平里,34,150.0,3
163.77,南 北,其他,低楼层(共10层) ,板楼,2450,149601.0,崇文门,3,13.0,4
160.56,东南,简装,低楼层(共23层) ,板塔结合,1029,64089.0,建国门内,12,180.0,5
96.31,南 北,简装,中楼层(共16层) ,板塔结合,1020,105909.0,朝阳门内,9,30.0,4
173.25,东,简装,低楼层(共24层),板楼,1850,106783.0,建国门内,7,120.0,3
183.39,东 南 西 北,精装,中楼层(共11层) ,板楼,1600,87246.0,朝阳门内,39,90.0,4
190.07,西北,精装,高楼层(共20层),塔楼,2200,115747.0,东直门,11,30.0,5
93.27,西,简装,23层,塔楼,550,58969.0,广渠门,15,365.0,3
158.29,东,精装,中楼层(共25层) ,塔楼,1920,121297.0,东直门,25,365.0,5
90.61,南 北,精装,12层,板塔结合,498,54961.0,永定门,470,180.0,3
90.69,东,精装,中楼层(共8层),板塔结合,726,80053.0,永定门,23,270.0,3
109.97,西北,简装,低楼层(共16层) ,塔楼,635,57744.0,永定门,103,365.0,4
90.01,东南 东,简装,中楼层(共22层) ,塔楼,658,73103.0,永定门,13,180.0,3
90.01,西南,简装,低楼层(共22层) ,塔楼,630,69993.0,永定门,29,365.0,3
179.61,南 北,简装,中楼层(共16层) ,板塔结合,2230,124158.0,和平里,46,180.0,4
107.54,东 西 北,简装,中楼层(共21层) ,板塔结合,1080,100428.0,安贞,10,330.0,4
92.75,东,精装,高楼层(共11层) ,板塔结合,1150,123990.0,崇文门,18,150.0,4
104.98,南 北,毛坯,中楼层(共21层) ,板塔结合,1490,141932.0,安定门,5,24.0,4
99.01,南,简装,低楼层(共16层) ,塔楼,1000,101000.0,安定门,13,30.0,4
92.17,南,精装,低楼层(共8层) ,板塔结合,1220,132365.0,安定门,13,90.0,3
91.69,南 北,简装,底层(共1层) ,板楼,1550,169048.0,东单,8,20.0,4
108.46,南 北,其他,中楼层(共12层) ,板塔结合,899,82888.0,永定门,4,4.0,5
165.08,南 北,其他,低楼层(共13层) ,板楼,1972,119458.0,崇文门,8,11.0,4
92.29,东 南 北,精装,中楼层(共22层) ,板塔结合,1288,139561.0,陶然亭,8,8.0,4
91.86,南,精装,低楼层(共22层) ,板塔结合,1119,121816.0,陶然亭,65,365.0,4
91.89,南 北,精装,高楼层(共20层) ,板塔结合,1350,146915.0,陶然亭,49,60.0,3
171.06,东南,简装,顶层(共16层) ,板塔结合,1755,102596.0,和平里,9,13.0,5
151.78,北,精装,低楼层(共24层),板楼,1420,93557.0,建国门内,2,16.0,4
109.9,南 北,精装,低楼层(共6层) ,板楼,1170,106461.0,东花市,18,150.0,5
91.48,东,简装,中楼层(共11层),板塔结合,939,102646.0,东花市,7,120.0,3
90.56,东 西,简装,11层 ,板塔结合,626,69126.0,永定门,5,120.0,3
101.79,西南,精装,中楼层(共18层),塔楼,820,80559.0,广渠门,19,60.0,4
97.46,南 北,精装,中楼层(共5层) ,板楼,1160,119024.0,金宝街,23,120.0,4
103.68,南 北,精装,中楼层(共4层) ,板楼,1185,114294.0,金宝街,10,21.0,4
