title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
报房胡同 ,3室1厅,92.33,东 南 北,简装,中楼层(共5层) ,暂无数据,板楼,960,103975.0,灯市口,27人关注,5个月以前发布
建予园 ,2室1厅,95.11,东南,精装,中楼层(共16层) ,暂无数据,塔楼,720,75702.0,永定门,37人关注,一年前发布
美惠大厦 ,3室2厅,197.76,东南,其他,高楼层(共15层) ,暂无数据,塔楼,1298,65636.0,朝阳门外,4人关注,2个月以前发布
豆瓣胡同 ,3室1厅,101.21,东 北,简装,高楼层(共12层) ,暂无数据,板楼,1260,124494.0,朝阳门内,1人关注,1个月以前发布
花市枣苑二期 ,3室1厅,172.33,西南,简装,低楼层(共17层) ,暂无数据,塔楼,1700,98648.0,东花市,3人关注,1个月以前发布
海晟名苑南区 ,3室2厅,151.92,东 西,其他,高楼层(共22层),2005年,板塔结合,2090,137573.0,工体,30人关注,5个月以前发布
西革新里108号院 ,2室1厅,93.09,南 北,简装,中楼层(共6层) ,暂无数据,板楼,680,73048.0,永定门,4人关注,3个月以前发布
东水井胡同 ,3室1厅,93.15,东 西,精装,低楼层(共15层) ,暂无数据,板楼,890,95545.0,朝阳门内,9人关注,5个月以前发布
华龙美晟 ,2室1厅,95.2,东,精装,底层(共12层) ,暂无数据,板塔结合,700,73530.0,永定门,33人关注,10个月以前发布
朝阳门南小街 ,2室1厅,91.08,东 西,精装,14层 ,暂无数据,板塔结合,1050,115284.0,朝阳门内,2人关注,20天以前发布
雅安国际公寓 ,3室1厅,164.7,东 东南 南,精装,高楼层(共19层) ,暂无数据,塔楼,1618,98240.0,建国门内,16人关注,6个月以前发布
贡院九号 ,2室1厅,163.43,南 北,精装,低楼层(共18层),2000年,板塔结合,1320,80769.0,建国门内,33人关注,一年前发布
上龙西里 ,3室1厅,187.66,东南,简装,高楼层(共18层) ,暂无数据,塔楼,1750,93254.0,安定门,14人关注,2个月以前发布
和平里五区 ,3室2厅,92.68,南 北,精装,顶层(共6层) ,暂无数据,板楼,820,88477.0,和平里,39人关注,6个月以前发布
烧酒胡同3号院 ,3室1厅,109.56,南 北,其他,中楼层(共6层) ,暂无数据,板楼,1275,116375.0,朝阳门内,9人关注,3个月以前发布
冠城名敦道A区 ,2室1厅,91.26,西北,精装,高楼层(共23层) ,暂无数据,塔楼,540,59172.0,广渠门,11人关注,5个月以前发布
民安小区东直门内北小街 ,3室1厅,97.94,南 北,简装,底层(共14层) ,暂无数据,板楼,1130,115377.0,东直门,3人关注,3个月以前发布
民委三舍 ,2室1厅,101.04,南 北,精装,低楼层(共15层) ,暂无数据,板塔结合,1020,100951.0,和平里,46人关注,6个月以前发布
国瑞城西区 ,2室1厅,107.75,东北,精装,高楼层(共16层),2009年,塔楼,910,84455.0,崇文门,4人关注,1个月以前发布
玉石胡同 ,3室1厅,91.33,南 北,简装,高楼层(共6层) ,暂无数据,板楼,985,107851.0,灯市口,34人关注,一年前发布
和平新城一期 ,2室1厅,109.38,南 东,精装,中楼层(共19层) ,暂无数据,板塔结合,1450,132566.0,和平里,40人关注,一年前发布
左安漪园 ,2室2厅,95.8,东,精装,高楼层(共17层) ,暂无数据,板塔结合,1030,107516.0,左安门,5人关注,1个月以前发布
左安浦园 ,2室1厅,104.85,南 北,精装,高楼层(共18层),2004年,板楼,920,87745.0,左安门,20人关注,一年前发布
京城仁合 ,2室1厅,100.14,东,简装,中楼层(共16层) ,暂无数据,板楼,1180,117836.0,广渠门,10人关注,一年前发布
安外花园 ,3室1厅,95.77,南 北,精装,底层(共12层) ,暂无数据,板塔结合,810,84578.0,和平里,8人关注,2个月以前发布
报房胡同 ,3室1厅,91.2,东 南 西 北,简装,底层(共1层) ,暂无数据,平房,1950,213816.0,灯市口,18人关注,4个月以前发布
金世纪嘉园 ,3室2厅,155.47,西南,简装,低楼层(共21层) ,暂无数据,塔楼,1390,89407.0,广渠门,32人关注,一年前发布
金世纪嘉园 ,2室1厅,108.11,东南 北,精装,高楼层(共21层),2003年,塔楼,995,92036.0,广渠门,32人关注,一年前发布
法华南里 ,3室2厅,108.55,东南 北,简装,底层(共6层) ,暂无数据,板楼,1049,96638.0,崇文门,16人关注,3个月以前发布
交道口东大街 ,3室1厅,100.83,南 北,简装,低楼层(共12层) ,暂无数据,板塔结合,1400,138848.0,交道口,12人关注,3个月以前发布
聚龙花园 ,3室1厅,178.68,南 北,精装,中楼层(共8层),1996年,板楼,1290,72197.0,工体,48人关注,一年前发布
府上嘉园 ,2室1厅,92.73,西,精装,顶层(共5层),2008年,板塔结合,1030,111076.0,安定门,4人关注,1个月以前发布
新奥洋房 ,2室1厅,97.18,东 西,简装,11层,2006年,板塔结合,699,71929.0,永定门,17人关注,4个月以前发布
交道口东大街 ,2室1厅,95.42,东 南 西 北,其他,高楼层(共10层) ,暂无数据,板塔结合,1240,129952.0,交道口,4人关注,5个月以前发布
元嘉国际公寓 ,3室2厅,185.66,东北,精装,中楼层(共7层) ,暂无数据,塔楼,1230,66251.0,东直门,9人关注,6个月以前发布
东直门外大街(东城） ,3室1厅,99.8,南 北,精装,中楼层(共14层) ,暂无数据,板塔结合,980,98197.0,东直门,61人关注,7个月以前发布
恒基中心 ,3室1厅,168.41,西北,精装,中楼层(共23层) ,暂无数据,板塔结合,1120,66505.0,建国门内,9人关注,21天以前发布
富贵园一区 ,2室1厅,91.74,东 南,精装,低楼层(共11层),2004年,板楼,1198,130587.0,东花市,80人关注,6个月以前发布
水上华城 ,3室1厅,161.74,东 西,其他,中楼层(共20层),2004年,板楼,1500,92742.0,广渠门,12人关注,2个月以前发布
国瑞城西区 ,2室1厅,105.36,西北,其他,高楼层(共16层),2009年,塔楼,980,93015.0,崇文门,0人关注,1个月以前发布
国瑞城中区 ,3室2厅,160.25,南 北,精装,中楼层(共16层),2006年,板楼,1990,124181.0,崇文门,21人关注,3个月以前发布
东花市北里中区 ,2室2厅,105.81,南 北,精装,中楼层(共5层) ,暂无数据,板楼,1150,108686.0,东花市,2人关注,21天以前发布
天天家园 ,2室1厅,100.82,东,精装,11层 ,暂无数据,塔楼,739,73299.0,永定门,9人关注,1个月以前发布
本家润园C区 ,3室1厅,97.45,东南,精装,低楼层(共18层) ,暂无数据,板塔结合,1020,104670.0,东花市,48人关注,3个月以前发布
东花市北里中区 ,2室2厅,105.81,南 北,精装,顶层(共5层) ,暂无数据,板楼,850,80333.0,东花市,56人关注,一年前发布
望陶园小区 ,3室1厅,102.83,东南 北,简装,高楼层(共18层) ,暂无数据,塔楼,728,70797.0,永定门,81人关注,一年前发布
领行国际 ,2室1厅,106.08,西,其他,高楼层(共21层),2005年,板塔结合,950,89556.0,广渠门,1人关注,2个月以前发布
东环居苑 ,2室1厅,94.9,南 北,精装,底层(共18层) ,暂无数据,塔楼,854,89990.0,广渠门,8人关注,3个月以前发布
天利园 ,2室1厅,92.84,南 北,精装,中楼层(共16层),2003年,板塔结合,915,98557.0,广渠门,9人关注,5个月以前发布
兴隆都市馨园 ,3室2厅,105.06,南 北,其他,高楼层(共7层) ,暂无数据,板楼,980,93281.0,崇文门,20人关注,一年前发布
花市枣苑二期 ,3室2厅,183.8,东南,其他,低楼层(共19层) ,暂无数据,塔楼,1849,100599.0,东花市,7人关注,9个月以前发布
国瑞城中区 ,3室1厅,90.31,西南,简装,低楼层(共16层) ,暂无数据,板塔结合,898,99436.0,崇文门,53人关注,4个月以前发布
宝轩大厦 ,3室2厅,172.69,南 北,精装,高楼层(共14层) ,暂无数据,板楼,1230,71226.0,东花市,29人关注,一年前发布
国瑞城中区 ,3室1厅,94.41,南,精装,低楼层(共11层),2006年,塔楼,980,103803.0,崇文门,45人关注,6个月以前发布
华龙美晟 ,2室1厅,90.52,西,简装,低楼层(共12层),2009年,板塔结合,729,80535.0,永定门,4人关注,4个月以前发布
天利园 ,2室2厅,101.78,南 北,简装,低楼层(共16层),2003年,板塔结合,999,98153.0,广渠门,1人关注,1个月以前发布
东四块玉南街4号院 ,3室2厅,154.79,东 西,其他,中楼层(共7层) ,暂无数据,板楼,1450,93676.0,左安门,34人关注,7个月以前发布
香饵胡同 ,3室1厅,91.98,南 西 北,简装,底层(共6层) ,暂无数据,板楼,1220,132638.0,交道口,4人关注,1个月以前发布
崇文门东大街 ,3室1厅,99.83,南 北,简装,17层 ,暂无数据,塔楼,999,100071.0,崇文门,29人关注,10个月以前发布
宝润苑 ,3室2厅,196.46,东 西,精装,高楼层(共14层) ,暂无数据,塔楼,1520,77370.0,东花市,10人关注,一年前发布
美惠大厦 ,2室2厅,184.71,东,精装,高楼层(共15层) ,暂无数据,塔楼,1288,69731.0,朝阳门外,4人关注,7个月以前发布
小黄庄一区 ,3室1厅,107.54,东 西 北,简装,中楼层(共21层) ,暂无数据,板塔结合,1080,100428.0,安贞,10人关注,一年前发布
小黄庄一区 ,3室1厅,75.25,南 北,简装,高楼层(共12层) ,暂无数据,板楼,799,106180.0,安贞,22人关注,3个月以前发布
安德里北街25号院 ,3室2厅,109.75,东 北 东北,精装,低楼层(共17层) ,暂无数据,塔楼,891,81185.0,安定门,48人关注,3个月以前发布
中海紫御公馆 ,2室2厅,92.52,南 西 北,精装,中楼层(共22层) ,暂无数据,板塔结合,1210,130783.0,陶然亭,37人关注,1个月以前发布
天天家园 ,2室1厅,102.06,东,简装,11层,2002年,塔楼,649,63591.0,永定门,34人关注,1个月以前发布
景泰西里西区 ,3室1厅,95.75,东,精装,11层 ,暂无数据,板塔结合,675,70497.0,永定门,23人关注,13天以前发布
和平里中街3号院 ,3室1厅,106.98,东南,精装,低楼层(共21层) ,暂无数据,塔楼,1220,114041.0,和平里,33人关注,2个月以前发布
富贵园一区 ,2室2厅,93.22,南 北,简装,中楼层(共10层) ,暂无数据,板楼,1280,137310.0,东花市,3人关注,6天以前发布
水上华城 ,3室2厅,196.89,东 西,精装,低楼层(共20层),2004年,板楼,1659,84261.0,广渠门,17人关注,7个月以前发布
朝阳首府 ,3室1厅,183.39,东 南 西 北,精装,中楼层(共11层) ,暂无数据,板楼,1575,85883.0,朝阳门内,63人关注,5个月以前发布
