title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
太阳园 ,2室1厅,101.75,西南,简装,低楼层(共27层) ,暂无数据,塔楼,1100.0,108109.0,知春路,2人关注,1个月以前发布
远大园三区 ,5室2厅,209.82,东 南 北,精装,中楼层(共14层) ,暂无数据,板楼,1970.0,93891.0,世纪城,18人关注,1个月以前发布
世纪金源国际公寓 ,1室1厅,133.45,东南,简装,顶层(共13层),2002年,塔楼,780.0,58449.0,世纪城,4人关注,9个月以前发布
远大园四区 ,1室1厅,85.81,南,简装,高楼层(共16层),2000年,塔楼,800.0,93230.0,世纪城,3人关注,5个月以前发布
新起点嘉园 ,3室2厅,170.1,南,简装,高楼层(共18层),2003年,塔楼,1280.0,75250.0,万柳,45人关注,7个月以前发布
光大花园 ,3室2厅,150.81,西南,精装,高楼层(共17层) ,暂无数据,塔楼,1650.0,109410.0,万柳,6人关注,2个月以前发布
北影小区 ,3室1厅,102.14,南,精装,低楼层(共18层) ,暂无数据,塔楼,970.0,94968.0,北太平庄,80人关注,4个月以前发布
新起点嘉园 ,3室1厅,184.79,东南,精装,中楼层(共18层),2003年,塔楼,1400.0,75762.0,万柳,30人关注,3个月以前发布
北洼西里 ,3室1厅,95.7,东南,精装,顶层(共18层) ,暂无数据,塔楼,780.0,81505.0,紫竹桥,80人关注,5个月以前发布
太阳园 ,2室2厅,103.47,西南,精装,高楼层(共30层),2001年,塔楼,1045.0,100996.0,知春路,11人关注,4个月以前发布
太阳园 ,2室2厅,97.61,西南,精装,中楼层(共26层) ,暂无数据,塔楼,1029.0,105420.0,知春路,16人关注,3个月以前发布
七贤村 ,2室1厅,93.3,南 北,简装,中楼层(共11层) ,暂无数据,板楼,780.0,83602.0,紫竹桥,53人关注,2个月以前发布
月华轩 ,2室1厅,93.32,东南,精装,高楼层(共17层) ,暂无数据,板塔结合,887.0,95050.0,马甸,36人关注,2个月以前发布
光大花园 ,3室1厅,150.81,东南,精装,中楼层(共17层) ,暂无数据,塔楼,1950.0,129302.0,万柳,38人关注,一年前发布
太阳园 ,3室2厅,104.42,西南,简装,高楼层(共27层) ,暂无数据,塔楼,1220.0,116836.0,知春路,65人关注,11个月以前发布
紫金庄园 ,3室2厅,151.96,西,精装,中楼层(共22层) ,暂无数据,塔楼,1260.0,82917.0,苏州桥,18人关注,8个月以前发布
太阳园 ,2室1厅,101.42,东南,其他,低楼层(共26层),2001年,塔楼,1180.0,116348.0,知春路,18人关注,一年前发布
小南庄社区 ,3室1厅,103.74,西北,精装,中楼层(共18层),1997年,塔楼,990.0,95431.0,苏州桥,15人关注,3个月以前发布
北三环中路43号院 ,3室1厅,99.2,东 西,其他,高楼层(共16层),1990年,板塔结合,845.0,85182.0,马甸,39人关注,11个月以前发布
晴雪园 ,4室2厅,196.53,南 北,精装,低楼层(共11层),2005年,板楼,3250.0,165370.0,世纪城,60人关注,一年前发布
翠叠园 ,4室2厅,193.74,东 南 西 北,精装,顶层(共13层) ,暂无数据,板楼,2250.0,116136.0,世纪城,9人关注,1个月以前发布
冠城北园 ,2室2厅,98.62,北,精装,底层(共22层),2000年,板楼,768.0,77875.0,马甸,9人关注,5个月以前发布
晴波园 ,4室2厅,164.4,南 北,精装,中楼层(共13层) ,暂无数据,板楼,2290.0,139295.0,世纪城,11人关注,2个月以前发布
晴波园 ,4室2厅,164.4,南 北,精装,高楼层(共13层) ,暂无数据,板楼,2460.0,149636.0,世纪城,6人关注,1个月以前发布
宏嘉丽园 ,2室1厅,99.39,南,精装,高楼层(共25层),2001年,塔楼,1098.0,110474.0,知春路,30人关注,一年前发布
太月园 ,2室1厅,90.12,东南,精装,中楼层(共18层),1999年,塔楼,798.0,88549.0,知春路,29人关注,4个月以前发布
紫金庄园 ,2室2厅,151.8,西,精装,低楼层(共22层) ,暂无数据,塔楼,1060.0,69829.0,苏州桥,6人关注,7个月以前发布
时雨园 ,4室2厅,172.18,南 北,简装,中楼层(共12层),2005年,板楼,2380.0,138228.0,世纪城,46人关注,一年前发布
春荫园 ,4室2厅,179.91,南 北,精装,低楼层(共13层) ,暂无数据,板楼,1980.0,110056.0,世纪城,3人关注,12天以前发布
太月园 ,2室1厅,92.6,西南,精装,中楼层(共27层),1998年,塔楼,798.0,86178.0,知春路,3人关注,3天以前发布
农林科学院宿舍 ,2室2厅,104.2,北 南,精装,顶层(共6层) ,暂无数据,板楼,768.0,73705.0,四季青,6人关注,29天以前发布
远大园四区 ,2室1厅,85.41,西南,精装,高楼层(共16层),2000年,塔楼,835.0,97764.0,世纪城,32人关注,2个月以前发布
春荫园 ,2室1厅,127.84,南 北,其他,高楼层(共12层),2004年,板楼,1595.0,124766.0,世纪城,22人关注,5个月以前发布
太月园 ,3室2厅,153.99,东南 北,精装,高楼层(共27层),1999年,塔楼,1600.0,103903.0,知春路,18人关注,8个月以前发布
太月园 ,2室1厅,99.29,东南,简装,高楼层(共27层),1999年,塔楼,1025.0,103233.0,知春路,20人关注,一年前发布
龙翔路小区 ,3室1厅,94.16,南 北,简装,顶层(共6层),1999年,板楼,780.0,82838.0,牡丹园,27人关注,2个月以前发布
中关村东路106号院 ,3室1厅,99.37,东 南 北,简装,9层,2000年,板楼,1060.0,106673.0,知春路,47人关注,6个月以前发布
太阳园 ,2室1厅,105.19,南,精装,低楼层(共26层),2001年,塔楼,1380.0,131192.0,知春路,49人关注,一年前发布
锦秋知春 ,3室2厅,164.24,南 北,简装,低楼层(共26层) ,暂无数据,塔楼,2180.0,132733.0,知春路,11人关注,4个月以前发布
太阳园 ,2室1厅,103.47,西南,其他,中楼层(共30层),2001年,塔楼,1150.0,111144.0,知春路,9人关注,一年前发布
太月园 ,2室1厅,100.9,西南,简装,低楼层(共19层) ,暂无数据,塔楼,880.0,87216.0,知春路,5人关注,1个月以前发布
彩电小区 ,3室1厅,97.6,东 南 北,精装,顶层(共6层) ,暂无数据,板楼,1099.0,112603.0,军博,18人关注,2个月以前发布
山水倾城 ,3室2厅,178.7,南 东北,精装,高楼层(共12层) ,暂无数据,塔楼,2390.0,133744.0,万柳,4人关注,15天以前发布
宏嘉丽园 ,2室2厅,95.71,东,精装,中楼层(共25层),2001年,塔楼,950.0,99259.0,知春路,13人关注,4个月以前发布
金夕园 ,2室2厅,86.02,东南,精装,中楼层(共17层),2003年,塔楼,670.0,77889.0,世纪城,178人关注,9个月以前发布
世纪金源国际公寓 ,2室2厅,146.5,南 北,精装,中楼层(共13层),2002年,塔楼,980.0,66895.0,世纪城,11人关注,一年前发布
时雨园 ,2室1厅,70.76,北,精装,低楼层(共19层),2005年,塔楼,850.0,120125.0,世纪城,14人关注,7个月以前发布
远大园四区 ,2室1厅,58.61,东 南,简装,高楼层(共16层),2000年,塔楼,850.0,145027.0,世纪城,2人关注,22天以前发布
时雨园 ,3室1厅,143.43,东南,精装,低楼层(共19层),2005年,塔楼,1599.0,111483.0,世纪城,7人关注,2个月以前发布
远大园五区 ,2室2厅,137.34,西南,精装,中楼层(共16层),2001年,塔楼,1350.0,98297.0,世纪城,29人关注,7个月以前发布
晨月园 ,2室1厅,81.95,西南,简装,中楼层(共17层),2007年,塔楼,660.0,80537.0,世纪城,28人关注,4个月以前发布
晨月园 ,2室1厅,76.69,东南,精装,底层(共17层),2007年,塔楼,850.0,110836.0,世纪城,37人关注,一年前发布
晨月园 ,2室1厅,77.67,西南,简装,高楼层(共17层),2007年,塔楼,690.0,88838.0,世纪城,101人关注,5个月以前发布
时雨园 ,2室1厅,66.37,南 西 北,精装,低楼层(共19层),2005年,塔楼,830.0,125057.0,世纪城,117人关注,11个月以前发布
晨月园 ,2室1厅,81.84,西南,简装,底层(共17层),2007年,塔楼,713.0,87122.0,世纪城,8人关注,一年前发布
世纪金源国际公寓 ,2室1厅,131.01,西南,简装,高楼层(共13层),2002年,塔楼,1030.0,78620.0,世纪城,11人关注,一年前发布
怡丽南园 ,3室1厅,120.17,南 北,其他,高楼层(共6层),2004年,板楼,1320.0,109845.0,世纪城,1人关注,1个月以前发布
晨月园 ,2室1厅,82.13,东南,简装,高楼层(共17层),2007年,塔楼,920.0,112018.0,世纪城,1人关注,30天以前发布
金夕园 ,3室1厅,121.96,南 西南,简装,高楼层(共17层),2003年,塔楼,1198.0,98229.0,世纪城,27人关注,4个月以前发布
远大园五区 ,2室1厅,116.11,西南,精装,中楼层(共16层),2001年,塔楼,1260.0,108518.0,世纪城,14人关注,2个月以前发布
金夕园 ,2室1厅,85.9,南 西,简装,中楼层(共17层),2003年,塔楼,650.0,75670.0,世纪城,116人关注,8个月以前发布
远大园一区 ,2室2厅,122.54,南,精装,中楼层(共11层),2001年,板楼,1320.0,107720.0,世纪城,16人关注,3个月以前发布
晨月园 ,2室1厅,81.95,西南,精装,中楼层(共17层),2007年,塔楼,680.0,82978.0,世纪城,2人关注,11天以前发布
金夕园 ,2室1厅,85.76,西,精装,高楼层(共17层) ,暂无数据,塔楼,685.0,79875.0,世纪城,26人关注,4个月以前发布
远大园五区 ,2室2厅,126.68,东南,简装,中楼层(共16层) ,暂无数据,塔楼,1350.0,106568.0,世纪城,20人关注,2个月以前发布
金夕园 ,3室2厅,123.96,东南 北,精装,低楼层(共17层) ,暂无数据,塔楼,1129.0,91078.0,世纪城,48人关注,4个月以前发布
金夕园 ,2室1厅,85.49,东 南,简装,高楼层(共17层),2003年,塔楼,730.0,85391.0,世纪城,3人关注,26天以前发布
晨月园 ,2室1厅,81.95,东南,精装,低楼层(共17层),2007年,塔楼,680.0,82978.0,世纪城,21人关注,9个月以前发布
远大园四区 ,2室2厅,85.41,东南,简装,中楼层(共16层),2000年,塔楼,815.0,95423.0,世纪城,10人关注,1个月以前发布
远大园四区 ,4室1厅,202.54,东南 西北,精装,高楼层(共16层),2000年,塔楼,1800.0,88872.0,世纪城,13人关注,2个月以前发布
远大园五区 ,5室2厅,261.78,南 北,简装,高楼层(共12层),2001年,板楼,3080.0,117657.0,世纪城,28人关注,一年前发布
远大园四区 ,4室1厅,202.54,西南,简装,中楼层(共16层),2000年,塔楼,2100.0,103684.0,世纪城,17人关注,一年前发布
郦城三区 ,2室1厅,109.78,南 北,精装,低楼层(共12层),2004年,板楼,1100.0,100201.0,四季青,24人关注,1个月以前发布
皂君庙丙4号院 ,3室1厅,99.1,南 北,精装,高楼层(共6层) ,暂无数据,板楼,797.0,80424.0,皂君庙,13人关注,2个月以前发布
