title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
冠城名敦道A区 ,2室1厅,93.27平米,西,简装,23层,2010年,塔楼,489,"52,429元/平",广渠门,2人关注,14天以前发布
水上华城 ,3室2厅,165.81平米,南 北,精装,高楼层(共23层),2005年,板楼,1880,"113,383元/平",广渠门,72人关注,一年前发布
东环居苑 ,3室1厅,99.52平米,西北,精装,中楼层(共22层) ,塔楼,,959,"96,363元/平",广渠门,15人关注,10个月以前发布
东环居苑 ,3室1厅,99.52平米,东 北,精装,低楼层(共22层),2004年,塔楼,935,"93,951元/平",广渠门,33人关注,9个月以前发布
天利园 ,2室1厅,101.78平米,南 北,精装,中楼层(共16层),2003年,板塔结合,1120,"110,042元/平",广渠门,1人关注,3个月以前发布
新奥洋房 ,3室1厅,104.37平米,南 北,简装,6层 ,板塔结合,,830,"79,525元/平",永定门,17人关注,2个月以前发布
太华公寓 ,2室1厅,152.62平米,南,精装,高楼层(共17层),2000年,塔楼,1280,"83,869元/平",崇文门,14人关注,一年前发布
华普花园 ,3室1厅,176.03平米,东,其他,中楼层(共22层) ,塔楼,,1230,"69,875元/平",东直门,7人关注,1个月以前发布
北京上舍 ,2室1厅,105.09平米,西,精装,中楼层(共15层) ,塔楼,,1000,"95,157元/平",广渠门,16人关注,4个月以前发布
海晟名苑北区 ,2室1厅,95.78平米,西,精装,17层,2007年,板塔结合,998,"104,198元/平",工体,11人关注,1个月以前发布
新怡家园 ,2室2厅,100.57平米,南 北,精装,底层(共13层) ,板楼,,1450,"144,179元/平",崇文门,18人关注,4个月以前发布
定安里 ,3室1厅,96.59平米,南 北,其他,中楼层(共4层) ,板楼,,650,"67,295元/平",永定门,1人关注,3天以前发布
冠城名敦道A区 ,2室1厅,93.27平米,西,精装,23层,2010年,塔楼,549,"58,862元/平",广渠门,24人关注,一年前发布
东四块玉南街 ,2室1厅,97.87平米,南 北,精装,底层(共6层),1998年,板楼,900,"91,959元/平",左安门,3人关注,1个月以前发布
新景家园东区 ,2室1厅,107.76平米,南 北,精装,中楼层(共13层) ,板塔结合,,1320,"122,495元/平",崇文门,45人关注,一年前发布
禾风相府 ,3室2厅,163.83平米,南 北,精装,中楼层(共14层) ,板塔结合,,2480,"151,377元/平",金宝街,19人关注,4个月以前发布
和平新城一期 ,3室2厅,152.14平米,东 南,简装,低楼层(共19层) ,板塔结合,,1799,"118,247元/平",和平里,20人关注,2个月以前发布
和平新城一期 ,3室1厅,158.45平米,东南,精装,低楼层(共20层) ,板塔结合,,1920,"121,174元/平",和平里,3人关注,25天以前发布
和平新城一期 ,3室2厅,152.14平米,东南,精装,中楼层(共19层) ,板塔结合,,1880,"123,571元/平",和平里,20人关注,7个月以前发布
民安小区东扬威街 ,3室1厅,105.24平米,南 西 北,简装,中楼层(共11层) ,塔楼,,950,"90,270元/平",东直门,15人关注,1个月以前发布
民安小区东扬威街 ,3室1厅,103.29平米,南 北,其他,低楼层(共16层) ,塔楼,,993,"96,138元/平",东直门,10人关注,3个月以前发布
海晟名苑南区 ,2室1厅,94.05平米,西,精装,中楼层(共17层) ,板塔结合,,1400,"148,857元/平",工体,18人关注,2个月以前发布
禄米仓胡同 ,3室1厅,94.83平米,南 北,其他,中楼层(共6层) ,板楼,,1170,"123,379元/平",朝阳门内,10人关注,4个月以前发布
安外东河沿 ,3室1厅,99.17平米,南 北,其他,底层(共16层) ,塔楼,,1300,"131,089元/平",安定门,2人关注,10天以前发布
